PROJECT ;MODEL          ;LOCATION;DATE      ;TIME ;LEADTIME;TTT  ;TX   ;TN   ;Td   ;PPPP ;DD   ;FF   ;FX1  ;FX3  ;FX6  ;mN   ;sN   ;N    ;mNeff;sNeff;Neff ;mNlm ;Nlm  ;Nh   ;Nm   ;mNl  ;Nl   ;N230 ;RH   ;VV   ;wwM  ;wwM3 ;wwM6 ;wwP  ;wwP3 ;wwP6 ;wwZ  ;wwD  ;wwC  ;wwT  ;wwL  ;wwS  ;wwF  ;wwZ3 ;wwD3 ;wwC3 ;wwT3 ;wwL3 ;wwF3 ;wwS3 ;wwZ6 ;wwD6 ;wwC6 ;wwT6 ;wwL6 ;wwF6 ;wwS6 ;wwZh ;wwDh ;wwCh ;wwTh ;wwLh ;wwFh ;wwSh ;wwMh ;wwPh ;DRR1 ;RR1  ;RR6  ;RRd  ;SunD1;jSun1;RSunD;RN2Sd;Rad1h;RRad1;PVV10;RRh  ;D_T2m;D_XT ;D_NT ;D_Td ;DPPPP;DDD10;DFF10;D_N  ;D_CT3;D_CT6;CH   ;CM   ;CL   ;D_RH ;SR3T ;SR6T ;TG   ;PX125;PX140;PX155;
MSWRMOS ;mix  2015090218;062600  ;2015-09-03;02:00; 00900  ;  158;     ;     ;  106;  132;  233;    9;   17;     ;     ;    5;    6;    6;    5;    6;    6;    4;    6;    2;    3;    4;    5;    6;   71;  220;    0;     ;     ;   55;     ;     ;    5;   38;   17;    2;   55;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   22;    2;     ;     ;   31;   31;     ;     ;  152;   44;    0;     ;  178;     ;     ;   95;  130;  250;   13;     ;     ;     ;     ;     ;     ;   58;     ;     ;     ;    7;    0;    0;
MSWRMOS ;mix  2015090218;062600  ;2015-09-03;02:00; 01000  ;  158;  166;   69;  104;  131;  241;    8;   17;   19;   20;    5;    6;    7;    5;    6;    7;    5;    6;    3;    3;    5;    5;    6;   71;  243;    0;    0;    6;   59;   77;   78;    5;   42;   17;    2;   59;    0;    0;   14;   60;   50;    5;   77;    0;    0;   21;   65;   61;    7;   78;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;   24;    2;    8;     ;   27;   27;     ;     ;  148;   41;    0;     ;  179;  178;   91;   95;  129;  259;   13;     ;     ;   39;     ;     ;     ;   58;    4;    7;     ;    9;    0;    0;
MSWRMOS ;mix  2015090218;062600  ;2015-09-03;02:00; 01100  ;  158;     ;     ;  102;  130;  245;    8;   17;     ;     ;    5;    7;    7;    5;    7;    7;    5;    7;    4;    4;    5;    5;    7;   69;  261;    0;     ;     ;   56;     ;     ;    5;   38;   18;    2;   56;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   24;    4;     ;     ;   25;   25;     ;     ;  139;   40;    0;     ;  178;     ;     ;   93;  128;  262;   14;     ;     ;     ;     ;     ;     ;   58;     ;     ;     ;   10;    0;    0;
MSWRMOS ;mix  2015090218;062600  ;2015-09-03;02:00; 01200  ;  157;     ;     ;   98;  129;  247;    8;   17;     ;     ;    6;    7;    8;    5;    7;    7;    5;    7;    5;    4;    4;    5;    7;   68;  274;    0;     ;     ;   47;     ;     ;    5;   30;   17;    2;   47;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   23;    3;     ;     ;   24;   24;     ;     ;  122;   38;    0;     ;  173;     ;     ;   90;  126;  262;   14;     ;     ;     ;     ;     ;     ;   58;     ;     ;     ;    9;    0;    0;
MSWRMOS ;mix  2015090218;062600  ;2015-09-03;02:00; 01300  ;  157;     ;     ;   94;  128;  250;    8;   16;   19;     ;    6;    7;    8;    5;    7;    7;    5;    7;    6;    5;    4;    5;    7;   66;  288;    0;    0;     ;   40;   65;     ;    6;   23;   17;    2;   40;    0;    0;   16;   51;   52;    5;   65;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   21;    2;     ;     ;   22;   22;     ;     ;   99;   36;    0;     ;  170;  178;  100;   87;  125;  262;   14;     ;   89;     ;   88;   73;    5;   58;    3;    7;     ;    9;    0;    0;
PROJECT ;MODEL          ;LOCATION;DATE      ;TIME ;LEADTIME;TTT  ;TX   ;TN   ;Td   ;PPPP ;DD   ;FF   ;FX1  ;FX3  ;FX6  ;mN   ;sN   ;N    ;mNeff;sNeff;Neff ;mNlm ;Nlm  ;Nh   ;Nm   ;mNl  ;Nl   ;N230 ;RH   ;VV   ;wwM  ;wwM3 ;wwM6 ;wwP  ;wwP3 ;wwP6 ;wwZ  ;wwD  ;wwC  ;wwT  ;wwL  ;wwS  ;wwF  ;wwZ3 ;wwD3 ;wwC3 ;wwT3 ;wwL3 ;wwF3 ;wwS3 ;wwZ6 ;wwD6 ;wwC6 ;wwT6 ;wwL6 ;wwF6 ;wwS6 ;wwZh ;wwDh ;wwCh ;wwTh ;wwLh ;wwFh ;wwSh ;wwMh ;wwPh ;DRR1 ;RR1  ;RR6  ;RRd  ;SunD1;jSun1;RSunD;RN2Sd;Rad1h;RRad1;PVV10;RRh  ;D_T2m;D_XT ;D_NT ;D_Td ;DPPPP;DDD10;DFF10;D_N  ;D_CT3;D_CT6;CH   ;CM   ;CL   ;D_RH ;SR3T ;SR6T ;TG   ;PX125;PX140;PX155;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00100  ;   72;     ;     ;   68;  143;  159;    2;    4;    5;     ;    2;    2;    2;    2;    2;    2;    2;    2;    0;    1;    2;    1;    2;   98;   31;   61;   81;     ;    5;    7;     ;    0;    2;    3;    0;    5;    0;    0;    1;    5;    7;    0;    6;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    1;    0;     ;     ;    0;    0;     ;     ;     ;     ;    9;     ;   99;     ;     ;   80;  143;  211;    6;     ;    2;     ;    0;    2;    0;   88;    2;    2;     ;    0;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00200  ;   74;     ;     ;   74;  142;  168;    3;    5;     ;     ;    2;    3;    3;    2;    3;    3;    2;    3;    0;    0;    2;    3;    3;  100;   34;   46;     ;     ;    4;     ;     ;    1;    1;    3;    0;    3;    1;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    1;    0;     ;     ;    0;    0;     ;     ;     ;     ;    8;     ;   99;     ;     ;   82;  140;  210;    7;     ;     ;     ;     ;     ;     ;   89;     ;     ;     ;    0;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00300  ;   81;     ;     ;   81;  140;  174;    3;    5;     ;     ;    3;    4;    4;    2;    4;    4;    2;    4;    0;    1;    2;    3;    4;  100;   52;   17;     ;     ;    0;     ;     ;    0;    0;    0;    0;    0;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    0;    0;     ;     ;    7;    7;     ;     ;     ;     ;    6;     ;   97;     ;     ;   84;  138;  208;    7;     ;     ;     ;     ;     ;     ;   91;     ;     ;     ;    0;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00400  ;   92;  150;   68;   92;  136;  179;    4;    6;    6;    7;    3;    4;    4;    2;    4;    4;    2;    3;    1;    0;    2;    3;    4;  100;   84;    0;   63;   81;    0;    4;   10;    0;    0;    0;    0;    0;    0;    0;    1;    1;    3;    0;    3;    0;    1;    2;    5;   10;    1;    9;    0;    1;    3;   10;   10;    1;   10;    0;    1;   85;   10;    0;    1;    1;   16;   26;   26;   44;     ;   14;   29;    2;    2;  103;  138;   91;   87;  136;  208;    8;     ;     ;    5;     ;     ;     ;   89;    3;    5;   38;    0;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00500  ;  113;     ;     ;   98;  134;  195;    6;   10;     ;     ;    3;    4;    4;    3;    4;    4;    3;    4;    1;    1;    2;    3;    4;   90;  141;    0;     ;     ;    9;     ;     ;    1;    6;    3;    0;    9;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    6;    0;     ;     ;   31;   31;     ;     ;   44;   35;    1;     ;  121;     ;     ;   88;  135;  212;    9;     ;     ;     ;     ;     ;     ;   81;     ;     ;     ;    1;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00600  ;  138;     ;     ;  103;  132;  203;    7;   13;     ;     ;    4;    4;    4;    4;    4;    4;    3;    4;    0;    1;    2;    3;    4;   79;  200;    0;     ;     ;   27;     ;     ;    2;   16;   11;    1;   27;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   16;    0;     ;     ;   38;   38;     ;     ;   83;   41;    0;     ;  145;     ;     ;   90;  134;  219;   11;     ;     ;     ;     ;     ;     ;   70;     ;     ;     ;    2;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00700  ;  154;     ;     ;  106;  130;  210;    9;   15;   15;     ;    4;    5;    5;    4;    5;    5;    3;    5;    0;    2;    2;    3;    5;   73;  240;    0;    0;     ;   34;   34;     ;    3;   20;   15;    1;   34;    0;    0;    6;   21;   18;    2;   34;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   21;    0;     ;     ;   40;   40;     ;     ;  126;   48;    0;     ;  164;  143;   93;   91;  133;  228;   12;     ;   20;     ;   15;   12;    0;   61;    3;    6;     ;    4;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00800  ;  160;     ;     ;  108;  130;  219;   10;   17;     ;     ;    4;    5;    5;    4;    5;    5;    4;    5;    1;    2;    3;    4;    5;   71;  254;    0;     ;     ;   27;     ;     ;    2;   14;   13;    1;   27;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   16;    1;     ;     ;   37;   37;     ;     ;  140;   45;    0;     ;  174;     ;     ;   92;  132;  238;   13;     ;     ;     ;     ;     ;     ;   58;     ;     ;     ;    8;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 00900  ;  158;     ;     ;  109;  130;  232;   10;   19;     ;     ;    4;    5;    6;    4;    5;    6;    4;    5;    2;    2;    4;    5;    6;   73;  248;    0;     ;     ;   10;     ;     ;    1;    7;    3;    0;   10;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    6;    3;     ;     ;   31;   31;     ;     ;  144;   42;    0;     ;  178;     ;     ;   94;  131;  250;   12;     ;     ;     ;     ;     ;     ;   58;     ;     ;     ;   13;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 01000  ;  156;  166;   72;  108;  130;  241;   10;   19;   19;   20;    5;    6;    7;    5;    6;    6;    4;    6;    3;    2;    4;    5;    6;   73;  246;    0;    0;    0;    1;   29;   37;    0;    0;    0;    0;    1;    0;    0;    3;   14;   16;    1;   29;    0;    0;    9;   28;   29;    3;   37;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;    0;    3;    8;     ;   26;   26;     ;     ;  138;   39;    0;     ;  178;  177;   91;   94;  129;  258;   12;     ;     ;   38;     ;     ;     ;   58;    4;    7;     ;   16;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 01100  ;  157;     ;     ;  107;  129;  245;   10;   19;     ;     ;    5;    6;    7;    5;    6;    7;    5;    6;    4;    3;    4;    5;    6;   72;  253;    0;     ;     ;    3;     ;     ;    0;    2;    2;    1;    3;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    2;    9;     ;     ;   24;   24;     ;     ;  137;   39;    0;     ;  177;     ;     ;   93;  127;  261;   12;     ;     ;     ;     ;     ;     ;   58;     ;     ;     ;   16;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 01200  ;  159;     ;     ;  105;  127;  248;   10;   19;     ;     ;    6;    6;    7;    5;    6;    7;    5;    7;    5;    4;    4;    5;    6;   70;  263;    0;     ;     ;   15;     ;     ;    2;    6;    9;    1;   15;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    9;    5;     ;     ;   24;   24;     ;     ;  128;   40;    0;     ;  173;     ;     ;   91;  126;  261;   13;     ;     ;     ;     ;     ;     ;   59;     ;     ;     ;   14;    0;    0;
MSWRMOS ;mix  2015090218;062650  ;2015-09-03;02:00; 01300  ;  160;     ;     ;  103;  126;  251;    9;   18;   20;     ;    6;    7;    8;    5;    7;    7;    5;    7;    6;    4;    4;    5;    6;   69;  274;    0;    0;     ;   26;   33;     ;    3;   10;   16;    2;   26;    0;    0;    5;   18;   26;    4;   33;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   15;    3;     ;     ;   24;   24;     ;     ;  112;   40;    0;     ;  169;  178;  100;   89;  124;  261;   13;     ;   87;     ;   86;   66;    4;   59;    4;    8;     ;   12;    0;    0;
PROJECT ;MODEL          ;LOCATION;DATE      ;TIME ;LEADTIME;TTT  ;TX   ;TN   ;Td   ;PPPP ;DD   ;FF   ;FX1  ;FX3  ;FX6  ;mN   ;sN   ;N    ;mNeff;sNeff;Neff ;mNlm ;Nlm  ;Nh   ;Nm   ;mNl  ;Nl   ;N230 ;RH   ;VV   ;wwM  ;wwM3 ;wwM6 ;wwP  ;wwP3 ;wwP6 ;wwZ  ;wwD  ;wwC  ;wwT  ;wwL  ;wwS  ;wwF  ;wwZ3 ;wwD3 ;wwC3 ;wwT3 ;wwL3 ;wwF3 ;wwS3 ;wwZ6 ;wwD6 ;wwC6 ;wwT6 ;wwL6 ;wwF6 ;wwS6 ;wwZh ;wwDh ;wwCh ;wwTh ;wwLh ;wwFh ;wwSh ;wwMh ;wwPh ;DRR1 ;RR1  ;RR6  ;RRd  ;SunD1;jSun1;RSunD;RN2Sd;Rad1h;RRad1;PVV10;RRh  ;D_T2m;D_XT ;D_NT ;D_Td ;DPPPP;DDD10;DFF10;D_N  ;D_CT3;D_CT6;CH   ;CM   ;CL   ;D_RH ;SR3T ;SR6T ;TG   ;PX125;PX140;PX155;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; OBS    ;  131;     ;     ;   91;     ;  240;   10;   14;     ;     ;     ;    1;    1;     ;    1;     ;     ;    1;     ;     ;     ;     ;    1;   77;     ;    0;     ;     ;    0;     ;     ;    0;    0;    0;    0;    0;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    1;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00100  ;  128;     ;     ;   94;  135;  256;   11;   14;   16;     ;    4;    5;    5;    4;    5;    5;    4;    5;    0;    1;    3;    5;    6;   80;  360;    0;    0;     ;   53;   94;     ;    2;   41;   13;    0;   53;    0;    0;    2;   94;   13;    2;   94;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   12;    1;     ;     ;    0;    0;     ;     ;     ;     ;    0;     ;  128;     ;     ;   90;  135;  225;   10;     ;   10;     ;    0;   10;    0;   78;   10;   10;     ;    3;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00200  ;  126;     ;     ;   96;  133;  252;   10;   16;     ;     ;    5;    5;    5;    5;    5;    5;    4;    5;    0;    1;    3;    4;    5;   82;  285;    0;     ;     ;   52;     ;     ;    4;   36;   16;    0;   52;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   12;    1;     ;     ;    0;    0;     ;     ;     ;     ;    0;     ;  127;     ;     ;   93;  132;  221;   11;     ;     ;     ;     ;     ;     ;   79;     ;     ;     ;    8;    1;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00300  ;  126;     ;     ;   98;  132;  237;   10;   16;     ;     ;    4;    4;    4;    4;    4;    4;    4;    4;    0;    2;    3;    3;    4;   83;  246;    0;     ;     ;   49;     ;     ;    6;   31;   18;    1;   49;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   13;    1;     ;     ;    2;    2;     ;     ;     ;     ;    0;     ;  128;     ;     ;   96;  129;  215;   13;     ;     ;     ;     ;     ;     ;   81;     ;     ;     ;    6;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00400  ;  132;  147;  119;  102;  131;  222;   10;   16;   17;   17;    4;    4;    4;    4;    4;    4;    4;    4;    0;    1;    3;    3;    4;   82;  241;    0;    0;    0;   48;   75;   88;    6;   29;   19;    0;   48;    0;    0;   15;   65;   53;    2;   75;    0;    0;   18;   88;   66;    3;   88;    0;    0;   18;   88;   66;    3;   88;    0;    0;    0;   88;    8;    1;    5;   28;   14;   14;   48;     ;   13;   26;    0;    5;  131;  145;  125;   98;  127;  214;   14;     ;     ;   32;     ;     ;     ;   80;   20;   30;  107;    4;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00500  ;  138;     ;     ;  104;  128;  221;   10;   16;     ;     ;    5;    5;    5;    5;    5;    5;    5;    4;    1;    2;    3;    3;    4;   80;  261;    0;     ;     ;   50;     ;     ;    5;   28;   23;    1;   50;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    9;    2;     ;     ;   20;   20;     ;     ;   39;   31;    0;     ;  139;     ;     ;   97;  125;  218;   14;     ;     ;     ;     ;     ;     ;   76;     ;     ;     ;    5;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00600  ;  144;     ;     ;  106;  125;  220;   11;   17;     ;     ;    5;    5;    6;    5;    5;    5;    5;    5;    2;    2;    4;    4;    5;   78;  283;    0;     ;     ;   53;     ;     ;    2;   27;   26;    1;   53;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   11;    3;     ;     ;   26;   26;     ;     ;   73;   37;    0;     ;  151;     ;     ;   93;  125;  226;   13;     ;     ;     ;     ;     ;     ;   69;     ;     ;     ;    6;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00700  ;  149;     ;     ;  107;  123;  222;   11;   17;   19;     ;    6;    6;    6;    6;    6;    6;    5;    5;    3;    2;    4;    4;    6;   76;  293;    0;    0;     ;   55;   76;     ;    3;   28;   27;    2;   55;    0;    0;   10;   54;   69;    4;   76;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   12;    4;     ;     ;   29;   29;     ;     ;  111;   43;    0;     ;  159;  149;  127;   92;  124;  235;   12;     ;   77;     ;   50;   71;    0;   64;   21;   41;     ;    8;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00800  ;  152;     ;     ;  110;  122;  226;   12;   18;     ;     ;    6;    6;    7;    6;    6;    6;    6;    5;    4;    3;    4;    4;    6;   76;  288;    0;     ;     ;   58;     ;     ;    5;   32;   26;    3;   58;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   13;    3;     ;     ;   27;   27;     ;     ;  131;   42;    0;     ;  164;     ;     ;   93;  123;  245;   12;     ;     ;     ;     ;     ;     ;   62;     ;     ;     ;   11;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 00900  ;  153;     ;     ;  112;  121;  231;   13;   19;     ;     ;    6;    7;    7;    6;    6;    6;    6;    6;    4;    4;    4;    3;    6;   76;  272;    0;     ;     ;   61;     ;     ;   11;   38;   23;    5;   61;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   14;    3;     ;     ;   22;   22;     ;     ;  144;   42;    0;     ;  165;     ;     ;   95;  121;  256;   12;     ;     ;     ;     ;     ;     ;   63;     ;     ;     ;   15;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 01000  ;  153;  156;  122;  112;  120;  236;   14;   19;   22;   22;    6;    7;    7;    6;    7;    7;    6;    6;    4;    5;    4;    3;    7;   76;  266;    0;    0;    0;   62;   83;   89;   15;   41;   21;    6;   62;    0;    0;   32;   68;   70;   13;   83;    0;    0;   41;   81;   80;   15;   89;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;   13;    2;   16;     ;   19;   19;     ;     ;  148;   42;    0;     ;  165;  165;  125;   97;  119;  263;   12;     ;     ;   80;     ;     ;     ;   64;    6;   27;     ;   18;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 01100  ;  154;     ;     ;  110;  119;  240;   14;   19;     ;     ;    7;    7;    7;    6;    7;    7;    6;    6;    4;    5;    4;    3;    7;   75;  273;    0;     ;     ;   61;     ;     ;   13;   40;   21;    4;   61;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   12;    2;     ;     ;   19;   19;     ;     ;  142;   41;    0;     ;  165;     ;     ;   98;  117;  264;   13;     ;     ;     ;     ;     ;     ;   64;     ;     ;     ;   19;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 01200  ;  153;     ;     ;  106;  118;  243;   13;   19;     ;     ;    7;    7;    7;    6;    6;    7;    6;    6;    4;    4;    4;    4;    7;   73;  289;    0;     ;     ;   57;     ;     ;   10;   36;   21;    4;   57;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   10;    1;     ;     ;   21;   21;     ;     ;  128;   40;    0;     ;  164;     ;     ;   97;  114;  260;   13;     ;     ;     ;     ;     ;     ;   65;     ;     ;     ;   19;    0;    0;
MSWRMOS ;mix  2015090218;062670  ;2015-09-03;02:00; 01300  ;  153;     ;     ;  102;  117;  247;   13;   19;   22;     ;    7;    7;    7;    6;    6;    6;    6;    6;    4;    4;    4;    4;    6;   72;  305;    0;    0;     ;   54;   73;     ;    7;   33;   21;    3;   54;    0;    0;   30;   68;   62;   12;   73;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    7;    1;     ;     ;   23;   23;     ;     ;  107;   39;    0;     ;  163;  166;  130;   97;  112;  258;   14;     ;   49;     ;   48;   41;    1;   65;    1;    7;     ;   19;    0;    0;
PROJECT ;MODEL          ;LOCATION;DATE      ;TIME ;LEADTIME;TTT  ;TX   ;TN   ;Td   ;PPPP ;DD   ;FF   ;FX1  ;FX3  ;FX6  ;mN   ;sN   ;N    ;mNeff;sNeff;Neff ;mNlm ;Nlm  ;Nh   ;Nm   ;mNl  ;Nl   ;N230 ;RH   ;VV   ;wwM  ;wwM3 ;wwM6 ;wwP  ;wwP3 ;wwP6 ;wwZ  ;wwD  ;wwC  ;wwT  ;wwL  ;wwS  ;wwF  ;wwZ3 ;wwD3 ;wwC3 ;wwT3 ;wwL3 ;wwF3 ;wwS3 ;wwZ6 ;wwD6 ;wwC6 ;wwT6 ;wwL6 ;wwF6 ;wwS6 ;wwZh ;wwDh ;wwCh ;wwTh ;wwLh ;wwFh ;wwSh ;wwMh ;wwPh ;DRR1 ;RR1  ;RR6  ;RRd  ;SunD1;jSun1;RSunD;RN2Sd;Rad1h;RRad1;PVV10;RRh  ;D_T2m;D_XT ;D_NT ;D_Td ;DPPPP;DDD10;DFF10;D_N  ;D_CT3;D_CT6;CH   ;CM   ;CL   ;D_RH ;SR3T ;SR6T ;TG   ;PX125;PX140;PX155;
MSWRMOS ;mix  2015090218;062690  ;2015-09-03;02:00; OBS    ;   84;     ;     ;   83;  145;  160;    2;    4;     ;     ;     ;    1;    1;     ;    1;     ;     ;    0;     ;     ;     ;     ;    1;   99;     ;    0;     ;     ;    0;     ;     ;    0;    0;    0;    0;    0;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    7;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    0;    0;    0;
MSWRMOS ;mix  2015090218;062690  ;2015-09-03;02:00; 00100  ;   83;     ;     ;   83;  142;  188;    3;    5;    6;     ;    2;    1;    1;    2;    1;    1;    2;    1;    0;    0;    2;    0;    1;  100;   26;   14;   14;     ;    3;    3;     ;    0;    0;    2;    0;    3;    0;    0;    0;    0;    2;    0;    3;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    0;    0;     ;     ;    0;    0;     ;     ;     ;     ;   10;     ;  107;     ;     ;   84;  140;  219;    6;     ;    4;     ;    0;    4;    0;   86;    4;    4;     ;    0;    0;    0;
MSWRMOS ;mix  2015090218;062690  ;2015-09-03;02:00; 00200  ;   83;     ;     ;   82;  141;  187;    3;    5;     ;     ;    2;    1;    1;    2;    1;    1;    2;    1;    0;    0;    2;    1;    1;   99;   28;   15;     ;     ;    6;     ;     ;    0;    1;    6;    0;    6;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    1;    0;     ;     ;    0;    0;     ;     ;     ;     ;    9;     ;  107;     ;     ;   86;  137;  215;    7;     ;     ;     ;     ;     ;     ;   87;     ;     ;     ;    0;    0;    0;
MSWRMOS ;mix  2015090218;062690  ;2015-09-03;02:00; 00300  ;   87;     ;     ;   85;  138;  184;    4;    6;     ;     ;    2;    3;    3;    2;    3;    3;    2;    3;    0;    1;    2;    2;    3;   99;   38;   14;     ;     ;    7;     ;     ;    1;    4;    3;    0;    7;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    4;    1;     ;     ;    6;    6;     ;     ;     ;     ;    4;     ;  107;     ;     ;   89;  135;  211;    8;     ;     ;     ;     ;     ;     ;   88;     ;     ;     ;    0;    0;    0;
